budget,revenue,profit,popularity,runtime,vote_average,genres1
200000000,769653595,569653595,45.274225,158,5.6,28
200000000,325233863,125233863,39.744242,96,6.6,16
176000003,183987723,7987720,85.36908,124,5.2,878
180000000,356743061,176743061,42.741719,109,5.5,28
180000000,748806957,568806957,67.391328,143,6.7,12
178000000,543934787,365934787,139.272042,144,6.4,878
185000000,1004558444,819558444,187.322927,152,8.2,18
175000000,735099082,560099082,92.201962,96,7.7,16
175000000,381509870,206509870,36.167578,94,6,16
140000000,585174222,445174222,120.725053,126,7.4,28
170000000,185770160,15770160,32.319043,126,7,12
170000000,222104681,52104681,40.748915,106,5.1,28
145000000,401128639,256128639,60.034162,112,5.2,12
175000000,745000000,570000000,90.23792,123,5.9,28
175000000,173000000,-2000000,27.082182,96,5.3,14
178000000,370541256,192541256,79.456485,113,7.6,28
175000000,264218220,89218220,44.640292,135,5.9,12
175000000,302469017,127469017,32.852443,118,5.6,12
175000000,857611174,682611174,128.655964,94,8,18
175000000,966550600,791550600,94.199316,106,6.7,10751
200000000,623933331,423933331,77.300194,124,6.6,12
170000000,396600000,226600000,77.178973,127,5.8,12
180000000,758539785,578539785,110.620647,97,7,14
170000000,710644566,540644566,243.791743,130,7.3,878
27000000,0,-27000000,2.418535,109,4.8,28
175000000,150962475,-24037525,41.796339,119,5.9,18
170000000,714766572,544766572,72.225265,136,7.6,28
165000000,752600867,587600867,44.041186,93,6,35
190000000,209154322,19154322,130.311355,130,6.2,12
165000000,652105443,487105443,203.73459,102,7.8,12
165000000,471222889,306222889,62.341073,108,7.1,10751
165000000,305875730,140875730,47.323228,100,6.4,12
165000000,389681935,224681935,48.775723,120,4.9,28
165000000,494878759,329878759,67.263269,98,7.5,14
200000000,435000000,235000000,69.405188,109,5.9,28
170000000,773328629,603328629,481.098624,121,7.9,28
165000000,675120017,510120017,724.247784,169,8.1,12
160000000,825532764,665532764,167.58371,148,8.1,28
15000000,77000000,62000000,9.476999,120,6.5,28
250000000,1021103568,771103568,108.849621,169,7,12
38000000,207283925,169283925,6.909942,106,6.6,28
150000000,333932083,183932083,60.269279,166,7.3,14
160000000,353624124,193624124,3.195174,132,7.1,28
160000000,653428261,493428261,127.284427,137,6.6,28
150000000,215283742,65283742,35.580815,109,5.8,14
160000000,181674817,21674817,21.133748,99,5.5,12
170000000,299370084,129370084,56.268916,113,6.5,14
160000000,798958165,638958165,42.986467,93,6,14
160000000,433677183,273677183,63.148529,123,6.3,28
155000000,440603537,285603537,202.042635,126,5.8,878
155000000,415686217,260686217,49.661984,113,6.2,12
140000000,449220945,309220945,34.20669,183,6.6,36
150000000,709709780,559709780,25.468493,144,6.6,12
155000000,167298192,12298192,39.019229,175,5.6,10752
150000000,938212738,788212738,78.144395,138,7.4,12
150000000,895921036,745921036,101.250416,157,7.5,12
150000000,624029371,474029371,56.758411,92,6.2,14
150000000,585349010,435349010,70.867401,101,6.9,18
150000000,474968763,324968763,53.905592,115,6.7,12
150000000,623722818,473722818,65.677399,111,7.5,16
150000000,374218673,224218673,115.040024,140,7.5,28
150000000,603900354,453900354,44.141021,89,6.2,10751
150000000,413106170,263106170,81.781591,105,5.9,12
150000000,373062864,223062864,5.954334,107,6.2,12
150000000,424988211,274988211,73.313918,129,6.4,12
150000000,1274219009,1124219009,165.125366,102,7.3,16
150000000,738599701,588599701,70.78591,138,6.7,12
170000000,644571402,474571402,99.499595,112,6.8,28
150000000,378858340,228858340,434.278564,120,7.2,28
150000000,356613439,206613439,67.447636,138,6.5,53
150000000,449326618,299326618,86.493424,115,6.6,12
150000000,309979994,159979994,41.845878,98,6.3,16
150000000,292817841,142817841,26.710398,88,5.1,14
150000000,301000000,151000000,44.927635,99,5.5,12
150000000,245527149,95527149,50.306728,113,5.7,35
150000000,682330139,532330139,114.522237,131,7.1,28
150000000,0,-150000000,21.214571,102,5.5,18
150000000,287594577,137594577,29.332905,91,5.7,10751
150000000,665692281,515692281,51.247321,91,6.7,16
150000000,318502923,168502923,33.769336,103,4.7,28
150000000,397850012,247850012,63.079003,126,6.5,12
150000000,205366737,55366737,39.004588,131,6.4,28
150000000,38992758,-111007242,12.362599,88,5.5,12
149000000,64459316,-84540684,22.550135,85,6,12
150000000,128388320,-21611680,48.03528,111,5.9,12
145000000,272912430,127912430,38.73494,92,6.7,16
175000000,497409852,322409852,66.803149,163,6.9,12
145000000,746921274,601921274,44.989192,93,6.4,16
140000000,431971116,291971116,54.159392,133,5.8,12
144000000,229147509,85147509,66.21806,116,5.3,28
140000000,553799566,413799566,58.485967,151,6.4,28
140000000,441818803,301818803,91.332849,88,6,28
70000000,195735876,125735876,35.601665,115,5.5,12
145000000,521170825,376170825,56.747978,95,6.7,28
145000000,694713380,549713380,77.77477,133,6.8,28
145000000,306941670,161941670,61.788035,97,7.1,14
100000000,202026112,102026112,25.159168,90,5.9,35
140000000,456758981,316758981,52.341226,154,7.3,18
140000000,268031828,128031828,101.599427,150,5.6,12
150000000,385680446,235680446,73.616808,127,7.4,878
139000000,821708551,682708551,82.502566,121,6.8,14
145000000,609123048,464123048,100.21391,102,7.6,14
140000000,150680864,10680864,56.257249,127,5.3,14
135000000,76932943,-58067057,17.88953,121,4.9,28
130000000,185258983,55258983,64.798873,163,7,28
140000000,285444603,145444603,24.855701,127,6.3,28
137000000,245360480,108360480,34.981698,138,5.3,18
130000000,371876278,241876278,59.325589,110,5.4,12
130000000,119269486,-10730514,21.605568,124,5.7,28
137000000,85131830,-51868170,26.074908,106,5.9,12
140000000,370569774,230569774,74.506246,124,6.6,28
135000000,361832400,226832400,39.604363,128,6,12
150000000,212011111,62011111,36.973031,138,6.9,12
120000000,829000000,709000000,99.687084,115,6.1,12
130000000,150406466,20406466,17.7735,100,5.8,16
150000000,163712074,13712074,62.898336,114,6.1,878
140000000,183345589,43345589,44.19092,120,6,12
135000000,532950503,397950503,100.635882,156,7.3,37
135000000,282570682,147570682,44.765377,96,6.1,16
135000000,245724603,110724603,29.91353,107,6.6,16
132000000,373552094,241552094,84.366984,92,6.5,10751
70000000,442824138,372824138,45.381501,115,7.3,28
130000000,631744560,501744560,84.689648,90,6.9,12
130000000,519311965,389311965,120.09361,117,7,878
130000000,847423452,717423452,76.310119,146,7.4,12
135000000,368871007,233871007,63.473086,94,6.8,14
132000000,591739379,459739379,48.572726,116,6.2,12
130000000,273339556,143339556,38.068736,147,6.3,12
130000000,554987477,424987477,20.678787,90,6.4,28
110000000,293329073,183329073,48.829437,100,6.2,28
125000000,362637473,237637473,46.115758,139,5.6,18
130000000,371940071,241940071,89.938296,107,6.7,12
130000000,789804554,659804554,79.679601,141,7.7,12
130000000,49554002,-80445998,28.840997,165,6.3,18
130000000,243843127,113843127,42.840582,100,5,878
127500000,354248063,226748063,26.548594,82,6.2,16
127000000,349424282,222424282,115.597753,97,6.1,12
130000000,321887208,191887208,68.757242,95,6.7,16
125000000,976475550,851475550,109.984351,152,7.5,12
130000000,61648500,-68351500,39.448066,96,5.4,14
140000000,655011224,515011224,271.972889,143,7.5,12
125000000,752100229,627100229,206.227151,123,6.6,878
125000000,767820459,642820459,45.313197,149,6.5,53
103000000,500188435,397188435,42.40024,102,6.3,16
110000000,407711549,297711549,2.871739,133,6.8,12
125000000,626137675,501137675,7.255718,130,7.1,28
125000000,334615000,209615000,81.499621,129,7,12
125000000,232713139,107713139,47.686442,106,5.6,12
65000000,261317921,196317921,43.129703,113,7.1,28
160000000,61698899,-98301101,27.220157,102,6.4,12
130000000,276572938,146572938,90.33681,120,6,28
125000000,238207122,113207122,50.073575,125,4.2,28
123000000,345141403,222141403,45.419668,104,6.2,10751
125000000,544272402,419272402,41.380094,124,6.2,28
125000000,546388105,421388105,54.931334,123,5.9,12
120000000,325756637,205756637,25.752118,130,6.2,18
130000000,289047763,159047763,60.810723,92,5.4,12
120000000,609016565,489016565,51.328145,127,7.2,12
110000000,228738393,118738393,46.834704,114,5.2,53
120000000,415484914,295484914,62.641286,123,5.9,28
120000000,259175788,139175788,33.616115,106,5.2,28
130000000,403170142,273170142,68.889395,124,6.3,878
120000000,169956806,49956806,27.990284,78,5.4,10751
115000000,286140700,171140700,67.33767,109,6.4,878
105000000,115772733,10772733,27.835436,119,6.3,28
120000000,242688965,122688965,66.757869,102,5.7,28
120000000,93945766,-26054234,17.060695,135,5.7,28
120000000,48668907,-71331093,11.137655,121,4.9,35
117000000,261930431,144930431,44.906918,109,5.9,28
120000000,286168572,166168572,67.698004,124,6.4,28
113000000,850000000,737000000,44.108427,140,7.1,878
120000000,649398328,529398328,43.987061,142,6.4,12
115000000,562816256,447816256,106.815545,92,7.5,16
120000000,415440673,295440673,15.953444,126,6.3,28
115000000,924317558,809317558,54.035265,136,6.3,12
135000000,585178928,450178928,64.183321,98,6.8,12
97250400,132900000,35649600,20.344364,116,5,14
115000000,77628265,-37371735,18.714197,134,5.8,18
115000000,164602163,49602163,60.467984,114,6,28
125000000,477200000,352200000,143.350376,101,5.8,878
105000000,716392705,611392705,110.153618,91,7.3,878
116000000,178127760,62127760,16.90444,108,5.7,28
135000000,245623848,110623848,39.873791,112,5.8,14
120000000,167977596,47977596,38.126095,100,4.4,28
110000000,574480841,464480841,48.780039,108,6.3,28
110000000,470490832,360490832,100.412364,114,6,28
110000000,333011068,223011068,42.887121,119,6,12
110000000,215294342,105294342,23.657284,165,6.8,18
110000000,362744280,252744280,76.840712,125,6.4,53
110000000,478207520,368207520,44.635452,120,6.5,28
110000000,295238201,185238201,103.718387,119,6.2,12
116000000,102000000,-14000000,45.616098,170,7,18
112000000,237382724,125382724,22.845143,85,4.9,35
120000000,227817248,107817248,31.703608,119,5.5,28
110000000,337580051,227580051,71.510596,102,6.1,28
110000000,563749323,453749323,36.65422,103,5.5,16
110000000,103951461,-6048539,19.625972,76,5.7,16
110000000,179246868,69246868,86.105615,121,5.9,12
110000000,299268508,189268508,37.195046,127,6.6,28
105000000,347434178,242434178,32.473628,105,5.5,14
160000000,164508066,4508066,23.336875,121,4.1,28
110000000,125537191,15537191,45.94834,114,6.6,878
110000000,383531464,273531464,48.93337,128,6.4,28
93000000,871368364,778368364,138.049577,178,8,12
110000000,72178895,-37821105,22.643776,120,5.7,28
107000000,87713825,-19286175,18.866672,157,6.7,18
0,0,0,18.251129,82,4.9,35
120000000,347234916,227234916,95.914473,115,6.7,28
130000000,211643158,81643158,44.490453,144,6.6,18
133000000,300135367,167135367,30.475297,84,5.8,16
105000000,267045765,162045765,62.479574,97,6.7,10749
108000000,630161890,522161890,167.93287,141,7.6,18
126000000,162949164,36949164,37.68056,136,6.5,28
90000000,10372291,-79627709,1.004579,104,3.7,35
90000000,237202299,147202299,52.995628,118,6.1,28
103000000,457640427,354640427,95.301296,155,7.9,28
102000000,358372926,256372926,65.948959,145,7.1,28
100000000,876688482,776688482,132.397737,161,7.4,12
150000000,599045960,449045960,88.935165,144,7.3,12
100000000,362211740,262211740,51.188633,119,5.6,53
100000000,520000000,420000000,101.74155,137,7.7,28
80000000,214104620,134104620,33.691694,140,6.5,36
100000000,266465037,166465037,42.361215,157,7.4,18
115000000,378882411,263882411,38.729418,141,6.8,28
100000000,150166126,50166126,40.597856,106,6.2,53
100000000,310650585,210650585,32.389353,98,5.4,35
100000000,170432927,70432927,24.399642,107,6.1,28
100000000,242295562,142295562,24.507987,115,5.6,28
100000000,425368238,325368238,82.121691,165,7.8,18
100000000,100138851,138851,46.727941,91,6.8,18
100000000,169327687,69327687,51.113717,78,7.2,12
100000000,312573423,212573423,53.732892,103,6.1,28
100000000,347451894,247451894,58.849256,131,6.4,12
100000000,249288105,149288105,30.863434,104,4.9,14
100000000,100086793,86793,31.586215,101,6.4,10751
100000000,268426634,168426634,36.711378,102,6.4,16
100000000,278731369,178731369,41.426678,103,6,28
100000000,211989043,111989043,20.652943,121,5.5,28
100000000,170877916,70877916,52.792678,143,7.3,18
100000000,392000694,292000694,95.007934,180,7.9,80
100000000,336529144,236529144,48.205606,121,5.2,28
105000000,121214377,16214377,58.782359,129,6.7,12
102000000,130482868,28482868,73.872343,172,6.6,18
80000000,140073390,60073390,37.321848,97,6.5,16
100000000,82102379,-17897621,32.271938,104,4.2,28
100000000,243400000,143400000,76.842247,99,5.6,28
140000000,109578115,-30421885,38.924136,95,7.2,12
100000000,68688831,-31311169,19.38841,102,5.3,12
90000000,206172544,116172544,61.025639,127,6.1,28
105000000,133718711,28718711,33.507289,114,5.5,28
84000000,0,-84000000,17.815595,94,3.6,14
100000000,93820758,-6179242,50.767332,122,6.5,53
100000000,7103973,-92896027,12.092241,95,4.4,28
100000000,94882889,-5117111,30.254021,115,6.4,10752
99000000,246233113,147233113,34.308098,88,6.5,16
10000000,13835130,3835130,3.091077,110,7.1,80
98000000,433013274,335013274,41.862983,130,6,12
100000000,193772504,93772504,46.160048,167,7.1,18
94000000,95311434,1311434,12.516546,145,7.1,18
85000000,149044513,64044513,23.230851,85,5.9,16
90000000,102000000,12000000,19.224754,93,5.4,28
92000000,172989651,80989651,44.455166,144,7.2,28
0,104907746,104907746,16.460356,85,5.6,35
90000000,263920180,173920180,109.528572,126,7.3,12
100000000,288347692,188347692,18.325897,146,5.4,35
95000000,76432727,-18567273,37.054554,89,7,12
95000000,877244782,782244782,65.229868,88,6.2,16
95000000,543514353,448514353,101.187052,105,6.7,10749
65000000,93525586,28525586,29.257137,136,6.6,14
94000000,940335536,846335536,85.688789,100,7.6,16
94000000,1118888979,1024888979,123.630332,201,8.1,12
79000000,926287400,847287400,106.914973,179,8,12
95000000,114178613,19178613,63.628459,102,5.2,12
115000000,274703340,159703340,41.498631,100,5.7,12
100000000,103039258,3039258,58.991388,119,5.9,53
93000000,368780809,275780809,1.859364,92,5.7,12
93000000,482860185,389860185,138.433168,105,7,53
90000000,162839667,72839667,21.436682,95,6.3,12
92000000,304654182,212654182,65.402595,98,5.2,28
145000000,25819961,-119180039,10.660441,137,5.8,37
92000000,631442092,539442092,77.817571,115,7.4,28
98000000,10017322,-87982678,7.029308,119,5.7,28
95000000,226497209,131497209,61.121717,118,6,12
90000000,589390539,499390539,104.121555,98,6.9,28
90000000,497366869,407366869,73.575118,92,7.3,16
100000000,167805466,67805466,37.698465,98,6.3,28
90000000,347325802,257325802,35.814765,90,6.4,28
100000000,155464351,55464351,15.835672,130,6.3,18
100000000,242988466,142988466,46.781182,90,6.5,16
90000000,886686817,796686817,69.457898,94,6.5,16
90000000,188133322,98133322,43.348022,114,7,12
92000000,264105545,172105545,40.20395,98,5.6,28
90000000,289847354,199847354,63.429157,151,7.9,18
90000000,304320254,214320254,67.427755,88,7.6,16
92000000,188072649,96072649,43.192048,107,6.5,28
90000000,232617430,142617430,47.651083,158,7.2,53
90000000,366101666,276101666,51.881077,128,6.9,28
90000000,524028679,434028679,57.834787,128,7,28
100000000,94061311,-5938689,29.608322,125,5.3,18
120000000,186053725,66053725,51.548589,95,6.7,16
0,233755553,233755553,27.867368,92,5.8,12
75000000,200276000,125276000,38.832842,121,6.7,18
90000000,201596308,111596308,40.597344,113,5.5,35
88000000,243637091,155637091,140.849495,105,5.6,28
100000000,235926552,135926552,34.035114,146,6.8,18
90000000,182290266,92290266,16.302378,99,5.2,53
90000000,171120329,81120329,55.249434,150,7.2,18
95000000,190213455,95213455,28.200874,112,5.6,28
80000000,162944923,82944923,18.69984,128,6.2,80
90000000,174578751,84578751,40.262261,106,5.9,12
95000000,156505388,61505388,56.811056,117,5.5,28
90000000,334901337,244901337,51.535701,129,6.7,28
68000000,118063304,50063304,20.913852,116,5.9,53
92000000,143049560,51049560,27.166757,126,6.8,28
90000000,60874615,-29125385,16.058284,114,5.7,878
90000000,484635760,394635760,46.200042,96,6.5,16
100000000,93700000,-6300000,24.939295,131,6.9,35
90000000,0,-90000000,19.836124,104,5.2,878
90000000,140807547,50807547,15.350451,107,5.9,80
100000000,35168966,-64831034,15.625949,138,6.1,18
20000000,79114085,59114085,31.802807,129,6.6,12
88000000,108539911,20539911,24.100863,144,7.3,10749
90000000,16178959,-73821041,3.593349,110,5.4,14
87000000,148336445,61336445,14.824166,141,6.7,18
92000000,494471524,402471524,32.079995,113,6.1,28
90000000,429632142,339632142,57.739713,143,7.5,12
100000000,384335608,284335608,37.272385,108,5.9,16
75000000,288500217,213500217,53.213931,108,7.2,28
85000000,315156409,230156409,36.38795,124,6.2,28
85000000,450717150,365717150,60.929352,116,7.2,53
75000000,132274484,57274484,36.605246,110,5.6,12
85000000,358375603,273375603,56.257411,91,6.8,16
85000000,340487652,255487652,29.21998,107,6.6,35
85000000,208076205,123076205,34.773106,115,6.3,28
85000000,183611771,98611771,9.895061,100,5.1,35
75000000,152930623,77930623,36.743324,104,5.8,28
85000000,194168700,109168700,44.967453,136,6.7,35
90000000,250649836,160649836,41.207568,132,6.7,28
85000000,219103655,134103655,16.479851,121,6.2,35
85000000,311312624,226312624,42.069993,122,6.5,80
85000000,197309027,112309027,26.61951,83,6.1,12
85000000,288747895,203747895,80.316463,139,6.9,12
68000000,96976270,28976270,41.273567,131,7.2,10752
85000000,80916492,-4083508,24.107835,104,6.4,12
85000000,137298489,52298489,32.044191,130,6.1,12
85000000,162242962,77242962,16.595874,145,7.3,18
85000000,158468292,73468292,8.282876,104,6.1,28
0,0,0,19.83683,97,6.7,18
90000000,142940100,52940100,36.069611,178,6.9,14
85000000,78382433,-6617567,18.827753,108,5.5,28
0,37823676,37823676,5.159407,123,7.3,18
85000000,183018522,98018522,48.126297,106,5.5,12
60000000,47664559,-12335441,38.885195,112,7.2,28
60000000,74208267,14208267,29.211255,136,5.4,28
84000000,123307945,39307945,17.783361,106,4.7,14
84000000,275650703,191650703,31.435539,88,5.4,9648
50000000,41037742,-8962258,57.673932,95,6.6,28
82500000,237681299,155181299,41.176631,107,6,35
8000000,21028755,13028755,13.661289,120,6.7,27
85000000,112483764,27483764,11.77398,82,4.9,35
85000000,222231186,137231186,21.218,88,5.9,12
85000000,160388063,75388063,58.57976,120,6.5,12
65000000,84785914,19785914,51.970905,157,7.3,80
82000000,96085477,14085477,18.447479,123,5.7,878
80000000,484572835,404572835,109.684788,101,6.4,14
80000000,274470394,194470394,77.580661,103,6,53
80000000,457696359,377696359,75.290998,110,6.7,12
75000000,691210692,616210692,68.550698,142,6.9,878
80000000,254455986,174455986,58.040149,102,6.2,35
80000000,280000000,200000000,59.113174,126,6.6,28
80000000,343397247,263397247,36.32705,83,6.3,35
80000000,145771527,65771527,55.659988,85,7.1,16
85000000,144000000,59000000,14.132583,97,5.8,35
75000000,140464664,65464664,34.070054,120,5.9,28
84000000,0,-84000000,44.34333,116,6.4,28
82000000,190320568,108320568,26.065735,113,6.2,35
75000000,342695435,267695435,23.473004,87,5.4,35
80000000,246984278,166984278,45.589568,100,5.8,35
80000000,230685453,150685453,23.496054,110,6,28
80000000,266728738,186728738,16.939441,128,6.3,18
80000000,294804195,214804195,81.914696,138,7.8,18
80000000,163733697,83733697,19.500893,88,5.3,35
75000000,260696994,185696994,29.558157,91,6,16
80000000,245676146,165676146,46.075037,138,6.8,28
80000000,212874442,132874442,23.531721,99,5.9,14
80000000,181001478,101001478,49.078546,117,7.3,53
80000000,214918407,134918407,37.02665,117,6.3,10749
75000000,224012234,149012234,45.154631,115,6.5,28
80000000,178066569,98066569,46.887983,118,6.3,9648
79000000,173013509,94013509,24.598479,154,6.7,18
80000000,157107755,77107755,32.363538,118,6.6,28
80000000,177977226,97977226,11.50396,93,5.3,35
80000000,91188905,11188905,19.375768,113,5.2,27
80000000,250200000,170200000,36.125715,88,6.5,16
0,0,0,25.450534,93,5.6,28
80000000,233093859,153093859,41.890722,104,5.2,18
75000000,136982834,61982834,22.179658,135,6.5,28
68000000,211817906,143817906,139.575085,135,7.4,10752
70000000,164000000,94000000,18.264635,98,5.6,28
80000000,201584141,121584141,11.187696,80,5.2,35
80000000,122563539,42563539,41.670544,83,7.4,37
80000000,169852759,89852759,27.46264,102,5.3,35
80000000,136159423,56159423,17.455024,130,5,12
80000000,96105964,16105964,21.394281,129,6.2,18
0,0,0,0.605645,117,8,10749
80000000,473226958,393226958,61.692197,89,6.7,16
80000000,90874570,10874570,14.530946,74,7,16
80000000,123729176,43729176,25.978555,96,5.8,878
90000000,0,-90000000,6.643778,114,5.9,28
102000000,147080413,45080413,36.788745,99,6.1,28
75000000,142400065,67400065,31.054334,129,5.9,28
85000000,71485043,-13514957,21.891078,113,6.8,18
85000000,0,-85000000,18.335992,90,5.2,35
88000000,105316267,17316267,40.138009,118,5.6,12
70000000,101371017,31371017,44.090535,106,6.1,35
0,0,0,3.300061,81,6.4,9648
0,43312294,43312294,20.632673,117,6.7,28
80000000,122444772,42444772,36.664991,89,5.9,28
80000000,34566746,-45433254,18.26121,145,6.9,18
80000000,159212469,79212469,16.681269,115,5.8,28
80000000,126546518,46546518,10.088006,87,5.2,16
44000000,21400000,-22600000,7.89147,118,3,28
80000000,68514844,-11485156,16.715631,90,5.6,16
80000000,53825515,-26174485,9.357734,112,5.1,18
80000000,19480739,-60519261,11.22268,116,5.4,28
80000000,17626234,-62373766,14.564667,177,6.1,18
90000000,69131860,-20868140,11.356079,92,5.2,12
90000000,146936910,56936910,52.612025,106,5.7,14
80000000,33463969,-46536031,13.800656,106,5.4,53
86000000,107944236,21944236,27.097932,94,6,12
0,19406406,19406406,10.706613,84,7.3,99
80000000,5989640,-74010360,7.342892,110,4.8,53
130000000,117831631,-12168369,50.561849,105,5.2,28
8000000,0,-8000000,0.719996,89,5.3,35
60000000,313542341,253542341,59.248437,135,7.7,18
45000000,788241776,743241776,90.457886,89,8,10751
79000000,355692760,276692760,40.723459,94,5.8,12
78000000,248384621,170384621,41.247402,95,6.4,16
78000000,209196298,131196298,10.083905,124,6.7,80
100000000,108103450,8103450,16.759252,136,6.5,37
79000000,149673788,70673788,22.132418,91,4.1,35
76000000,236350661,160350661,10.520961,107,6.2,28
64000000,97571250,33571250,35.384423,92,7.6,12
80000000,15071514,-64928486,15.673154,99,5.7,878
76000000,35134820,-40865180,8.981427,88,3.9,28
75000000,875958308,800958308,31.482872,87,5.9,16
78000000,179265204,101265204,47.436675,110,5.7,14
76000000,970761885,894761885,136.886704,98,7,16
75000000,816969268,741969268,60.442593,145,6.7,28
73000000,229074524,156074524,2.502487,129,6.2,12
75000000,532680671,457680671,48.110909,86,6.6,10751
76000000,69959751,-6040249,35.387874,109,7.4,18
75000000,296339527,221339527,4.66891,104,6.8,12
75000000,258270008,183270008,73.82289,110,6.4,28
75000000,335062621,260062621,51.469576,136,6.9,28
80000000,660940780,580940780,85.115058,91,6.5,16
75000000,196482882,121482882,61.437586,99,6.6,35
50000000,90450008,40450008,31.160542,117,6.5,10751
80000000,78000586,-1999414,15.761384,114,4.7,27
75000000,0,-75000000,17.561955,78,4.3,28
75000000,117698894,42698894,71.124686,115,7.3,53
80000000,271430189,191430189,38.864027,102,6,35
60000000,219417255,159417255,57.753914,128,7,35
35000000,73034460,38034460,13.25753,100,5.7,35
75000000,215663859,140663859,13.318744,124,5.9,28
75000000,119000410,44000410,18.70031,102,6.5,35
75000000,367275019,292275019,47.094369,90,5.8,16
70000000,154937680,84937680,14.486311,134,6.6,18
53000000,95226116,42226116,18.61472,118,5.4,35
70000000,130358911,60358911,29.035222,164,6.9,18
70000000,85632458,15632458,27.055085,121,6.4,28
75000000,98159963,23159963,23.004607,100,5.7,28
75000000,108145109,33145109,48.744209,116,7.1,35
80000000,55041367,-24958633,14.209329,130,5.8,35
75000000,140175006,65175006,36.368839,91,6.3,16
75000000,67631903,-7368097,24.353302,123,6.2,28
55000000,127600435,72600435,19.143321,134,5.9,28
75000000,0,-75000000,13.327372,148,6.4,18
75000000,226904017,151904017,37.917002,110,5.7,14
52000000,77944725,25944725,23.663713,113,6.2,9648
75000000,36754634,-38245366,14.44381,94,6.3,16
75000000,51142659,-23857341,10.605084,116,5,28
75000000,14567883,-60432117,11.873856,99,6.1,28
0,5802422,5802422,12.708963,84,5.8,28
75000000,5409517,-69590483,8.098369,93,4.3,12
45000000,21009180,-23990820,20.374308,113,5.7,28
75000000,248118121,173118121,42.006908,106,6.9,878
74000000,1156730962,1082730962,875.581305,91,6.4,10751
82000000,89792502,7792502,39.127082,110,5.9,28
73000000,103891409,30891409,20.790703,98,5.8,80
75000000,13100000,-61900000,18.65988,134,5.8,878
73000000,349779543,276779543,45.720894,97,5.9,10751
70000000,111231041,41231041,21.789615,112,5.4,10749
75000000,61458982,-13541018,20.199057,146,5.7,35
70000000,86658558,16658558,26.123705,110,6.5,53
72500000,162966177,90466177,12.599836,116,6.2,35
70000000,176104344,106104344,13.543053,87,4.9,35
72000000,210000000,138000000,60.722162,177,7.7,28
72000000,96889998,24889998,32.227223,125,6.6,18
